label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.0,0.0,0.0,-0.05327296257019043,-0.007330179214477539,-0.010831368727252766,-0.09844464063644409,-0.05399841070175171,-0.013442918298409268,-0.11830639839172363,-0.10978582501411438,-0.01801068020390062,-0.12146669626235962,-0.15194183588027954,-0.018743070413933083,-0.08807563781738281,-0.11596772074699402,0.011839974100126938,-0.09394693374633789,-0.16519665718078613,-0.011387828377650067,-0.08195346593856812,-0.12354841828346252,-0.024151886453495308,-0.07582223415374756,-0.09463167190551758,-0.028416656529174134,-0.06162375211715698,-0.12417629361152649,0.008252837123706058,-0.06757497787475586,-0.16928794980049133,-0.01565975939260511,-0.05535799264907837,-0.11473718285560608,-0.021462202643618866,-0.05238699913024902,-0.08961805701255798,-0.01851923448370485,-0.034834980964660645,-0.1272273063659668,-0.0002611005805590594,-0.040364623069763184,-0.16706228256225586,-0.024253059750066086,-0.030765831470489502,-0.11270955204963684,-0.0167574459813693,-0.028253912925720215,-0.08612772822380066,-0.004288567801580712,-0.006371676921844482,-0.12555885314941406,-0.010105614190564438,-0.013506948947906494,-0.15435370802879333,-0.022544410651192948,-0.008943736553192139,-0.11449292302131653,-0.0140306647993782,-0.007342875003814697,-0.09320813417434692,-0.003372876079396292
A,0.0,0.0,0.0,-0.05374675989151001,-0.00877082347869873,-0.011282810990110193,-0.09937793016433716,-0.05543828010559082,-0.01444607326050118,-0.12011158466339111,-0.1114339828491211,-0.01956566707451657,-0.12244164943695068,-0.1549380123615265,-0.020678834107116018,-0.08949476480484009,-0.1182188093662262,0.01166416234116241,-0.09669762849807739,-0.16672128438949585,-0.011611174840822969,-0.0832487940788269,-0.1242351233959198,-0.024579207461670194,-0.07550603151321411,-0.09535396099090576,-0.029083726045087133,-0.06331020593643188,-0.12773817777633667,0.00834490167687818,-0.06982028484344482,-0.17170658707618713,-0.01550661963631228,-0.05615246295928955,-0.11644083261489868,-0.021148930352524076,-0.05190068483352661,-0.09152472019195557,-0.018158673357561383,-0.03624790906906128,-0.131386399269104,6.419200724394614e-05,-0.042778730392456055,-0.17115086317062378,-0.023651863497093473,-0.032495737075805664,-0.11610376834869385,-0.015511982191696916,-0.029082417488098145,-0.08970019221305847,-0.0026698716006876566,-0.007360577583312988,-0.12974491715431213,-0.00962471966852263,-0.015986740589141846,-0.1599607765674591,-0.021872342612937246,-0.011639654636383057,-0.11960834264755249,-0.012816487860277448,-0.009653627872467041,-0.0978783667087555,-0.0017226866235660054
A,0.0,0.0,0.0,-0.053240954875946045,-0.007333427667617798,-0.011610564381072663,-0.09865009784698486,-0.051888883113861084,-0.014748031810114526,-0.11944538354873657,-0.10716831684112549,-0.019737553388068818,-0.12185448408126831,-0.1504804491996765,-0.020742346137950562,-0.08967083692550659,-0.1149810254573822,0.012125510185768462,-0.09610521793365479,-0.16229835152626038,-0.01166897972692027,-0.08273547887802124,-0.11977371573448181,-0.024933931023070954,-0.07539427280426025,-0.09171557426452637,-0.029603407323548936,-0.06346011161804199,-0.12455922365188599,0.00886236263792739,-0.06980383396148682,-0.16844627261161804,-0.015637061163971566,-0.05602198839187622,-0.11279574036598206,-0.021608753666470193,-0.05215054750442505,-0.08872771263122559,-0.018644540175984048,-0.036522626876831055,-0.12849044799804688,0.0005121819430939922,-0.042811691761016846,-0.1679244339466095,-0.024181385129878663,-0.03241223096847534,-0.11234250664710999,-0.01651317679900899,-0.029529929161071777,-0.08665710687637329,-0.0037163049692310324,-0.0076590776443481445,-0.12731167674064636,-0.009213227383980893,-0.015946030616760254,-0.15540826320648193,-0.022247871920654916,-0.01128244400024414,-0.11424285173416138,-0.0136145237611629,-0.009705841541290283,-0.09290134906768799,-0.002661881340856098
A,0.0,0.0,0.0,-0.05420011281967163,-0.008751451969146729,-0.010904548715870988,-0.09935253858566284,-0.053119808435440063,-0.01389698686830343,-0.11983007192611694,-0.10784900188446045,-0.01899701452634872,-0.1217813491821289,-0.15074566006660461,-0.02019189766429008,-0.0888635516166687,-0.11568444967269897,0.013181366000253547,-0.09508711099624634,-0.16262993216514587,-0.010870916795056473,-0.08230745792388916,-0.1213175356388092,-0.024907869312983166,-0.07505261898040771,-0.09306296706199646,-0.030004969824176442,-0.06269514560699463,-0.12478238344192505,0.009709292996603835,-0.06869375705718994,-0.16784989833831787,-0.014964548897069108,-0.054814159870147705,-0.11349111795425415,-0.021544757325273167,-0.05068904161453247,-0.08903142809867859,-0.019080194670777928,-0.03582894802093506,-0.12891319394111633,0.0012013085390663036,-0.042327702045440674,-0.16821730136871338,-0.02311436741433681,-0.031870901584625244,-0.11388644576072693,-0.01548329370848478,-0.028654396533966064,-0.08737385272979736,-0.0028036714327299705,-0.00730973482131958,-0.12792569398880005,-0.00869507158927263,-0.015605330467224121,-0.15696153044700623,-0.021144979659538876,-0.010984361171722412,-0.11665543913841248,-0.012220162924450051,-0.009108781814575195,-0.0949428379535675,-0.0011173301870712748
A,0.0,0.0,0.0,-0.05087774991989136,-0.004171431064605713,-0.016505476420036302,-0.09735113382339478,-0.04995971918106079,-0.020676449273935305,-0.11906665563583374,-0.10724052786827087,-0.025393184607139574,-0.12018942832946777,-0.15145927667617798,-0.02525535259138678,-0.09074890613555908,-0.11436796188354492,0.009516063744911207,-0.09230715036392212,-0.160078763961792,-0.016932601441851602,-0.08052176237106323,-0.11522513628005981,-0.031136930321565615,-0.07736790180206299,-0.09042501449584961,-0.03626316260289286,-0.06567221879959106,-0.12274003028869629,0.00866828732449676,-0.06749492883682251,-0.16445282101631165,-0.01829574849199389,-0.054939329624176025,-0.10688203573226929,-0.024050871242991434,-0.05540734529495239,-0.0888282060623169,-0.02085847813378905,-0.0405842661857605,-0.12685811519622803,0.0019051880973961488,-0.04176604747772217,-0.16462087631225586,-0.024932192971220957,-0.03229057788848877,-0.1084337830543518,-0.016967745830527292,-0.03263664245605469,-0.08784079551696777,-0.003883362614772068,-0.014146983623504639,-0.12716755270957947,-0.006777564396372782,-0.01635676622390747,-0.15277713537216187,-0.020407002751937853,-0.011472225189208984,-0.11114943027496338,-0.012332417403570162,-0.012022256851196289,-0.0937589704990387,-0.0018402365802216991
A,0.0,0.0,0.0,-0.048420488834381104,-0.002027153968811035,-0.018954440094347547,-0.09502267837524414,-0.04829758405685425,-0.023971018455739568,-0.11692535877227783,-0.10641196370124817,-0.029047603793259213,-0.11858636140823364,-0.15133890509605408,-0.028839035965319226,-0.09074890613555908,-0.11505401134490967,0.007542949095551421,-0.09108376502990723,-0.16050377488136292,-0.020582803599353383,-0.07867079973220825,-0.11429637670516968,-0.034880141801949094,-0.07672661542892456,-0.09072795510292053,-0.03985537130367334,-0.0658717155456543,-0.12432387471199036,0.007458382211808612,-0.06549078226089478,-0.16410720348358154,-0.02156961809825475,-0.052618563175201416,-0.10489097237586975,-0.027173970900292943,-0.055323898792266846,-0.08956888318061829,-0.02341765079628999,-0.04102200269699097,-0.1286168098449707,0.0009840291880038876,-0.03945350646972656,-0.1638137698173523,-0.02793897416424329,-0.0299069881439209,-0.10649752616882324,-0.02007438156735475,-0.03263157606124878,-0.08927169442176819,-0.006705385707135747,-0.014838337898254395,-0.12955039739608765,-0.0076079504376309615,-0.014231860637664795,-0.15230730175971985,-0.022525166235681127,-0.009478747844696045,-0.10984569787979126,-0.01512957371753032,-0.012205004692077637,-0.09438908100128174,-0.004921272471364091
A,0.0,0.0,0.0,-0.05355960130691528,-0.008657693862915039,-0.013176970772377672,-0.09963566064834595,-0.05677106976509094,-0.01684124081575078,-0.11912888288497925,-0.11499398946762085,-0.022042316041819277,-0.11823254823684692,-0.15960898995399475,-0.023086602456800165,-0.08869683742523193,-0.12212449312210083,0.010618969209559737,-0.09329038858413696,-0.16737857460975647,-0.014677329577438059,-0.08143901824951172,-0.12318313121795654,-0.028251236893169107,-0.07590651512145996,-0.09704858064651489,-0.0329836556985299,-0.06122070550918579,-0.13047796487808228,0.007542410276897726,-0.06701809167861938,-0.17187929153442383,-0.018018236972324075,-0.05469542741775513,-0.11475104093551636,-0.023542229674688997,-0.052191078662872314,-0.09438619017601013,-0.020089895121685686,-0.033015668392181396,-0.1336590051651001,-0.0009462462686258277,-0.03903287649154663,-0.17216193675994873,-0.02665884292864007,-0.029752671718597412,-0.11487346887588501,-0.01776865742348832,-0.027557313442230225,-0.09206682443618774,-0.0039786138869146725,-0.0031945109367370605,-0.1318056881427765,-0.010988419532708349,-0.012432754039764404,-0.15879425406455994,-0.02400124876939458,-0.007891595363616943,-0.1166236400604248,-0.014256985515288534,-0.0058367252349853516,-0.09800457954406738,-0.002430328756503286
A,0.0,0.0,0.0,-0.057667672634124756,-0.01936286687850952,-0.007096263107513323,-0.09718579053878784,-0.0673944354057312,-0.008787004270260468,-0.11226916313171387,-0.12449124455451965,-0.013825877562766209,-0.1114625334739685,-0.16808393597602844,-0.015542860136037007,-0.07779449224472046,-0.1266649067401886,0.01742624492138134,-0.08706504106521606,-0.17405802011489868,-0.004856713574980631,-0.08079224824905396,-0.1302052140235901,-0.017505208023493424,-0.07284742593765259,-0.10169848799705505,-0.021701134734456673,-0.05030357837677002,-0.13292846083641052,0.012200437493021354,-0.061080873012542725,-0.17828699946403503,-0.011368819505577221,-0.05437517166137695,-0.12190660834312439,-0.01733531243414177,-0.04515182971954346,-0.09718167781829834,-0.013945935287182465,-0.021731853485107422,-0.13362735509872437,0.002260072629297838,-0.03391158580780029,-0.17848989367485046,-0.020626939826314583,-0.03016674518585205,-0.12159952521324158,-0.011914755210881367,-0.022236943244934082,-0.09359431266784668,0.001976557315657601,0.009503662586212158,-0.12868300080299377,-0.00884373578489317,-0.0059182047843933105,-0.16296148300170898,-0.019490178667609825,-0.008058309555053711,-0.12284702062606812,-0.009370408014063969,-0.0030559897422790527,-0.10007506608963013,0.002743032302106485
A,0.0,0.0,0.0,-0.05841636657714844,-0.023809373378753662,-0.006219229466637444,-0.09486585855484009,-0.07449090480804443,-0.0069859016606415025,-0.10677832365036011,-0.13107812404632568,-0.011616328071227144,-0.10553401708602905,-0.17373055219650269,-0.013442465375533175,-0.07305800914764404,-0.13180851936340332,0.02020114167464726,-0.0841863751411438,-0.17806792259216309,-0.0014268381440842859,-0.07896411418914795,-0.13475856184959412,-0.014040252465179037,-0.06952458620071411,-0.10603156685829163,-0.018065386723151278,-0.04571080207824707,-0.13683781027793884,0.014453207802603174,-0.057366371154785156,-0.18269586563110352,-0.009386990490725111,-0.053555428981781006,-0.12577703595161438,-0.01631173611747272,-0.04314082860946655,-0.09943887591362,-0.012940417315235209,-0.016962170600891113,-0.1359069049358368,0.003990772840211321,-0.030096352100372314,-0.1819400191307068,-0.01935346917377956,-0.029309391975402832,-0.12406271696090698,-0.011490919898619723,-0.020424306392669678,-0.09479165077209473,0.0024192125616764315,0.01502382755279541,-0.12905526161193848,-0.007541056528111767,-0.0017494559288024902,-0.16473877429962158,-0.01849357159005649,-0.005629420280456543,-0.12482807040214539,-0.008399440246989798,0.0005582571029663086,-0.101321280002594,0.004110030558535982
A,0.0,0.0,0.0,-0.05721783638000488,-0.02546107769012451,-0.004601584376331402,-0.09073323011398315,-0.07710036635398865,-0.0049253647229932085,-0.10042053461074829,-0.13171806931495667,-0.009512043186958863,-0.10028231143951416,-0.1743636429309845,-0.011667828635808064,-0.06842648983001709,-0.1350322663784027,0.021234589999977516,-0.08120870590209961,-0.17906910181045532,-0.00016160899392048123,-0.07735878229141235,-0.13533973693847656,-0.012337905915018155,-0.06767392158508301,-0.10641098022460938,-0.015796991625364853,-0.042584121227264404,-0.13867667317390442,0.014863063952390121,-0.054253458976745605,-0.18244177103042603,-0.009054035508569314,-0.05205279588699341,-0.12439858913421631,-0.01563423741751535,-0.04121994972229004,-0.09749671816825867,-0.011581801438268258,-0.0146750807762146,-0.1369016170501709,0.0038759861127175554,-0.028187334537506104,-0.18035238981246948,-0.020013327339228226,-0.0285799503326416,-0.12169978022575378,-0.012855738030310704,-0.01920020580291748,-0.09250211715698242,0.0010067062903829083,0.01689702272415161,-0.12930229306221008,-0.007912447304960324,-0.00187760591506958,-0.16449889540672302,-0.019845950046118332,-0.00588613748550415,-0.12348520755767822,-0.010294952990051343,0.0015382170677185059,-0.09858819842338562,0.002275464263249205
